count_point_id;count_point_name;op_road_name;punctual_position
97;MWI35.H1;"N0012";POINT (-1.742691605424921 48.12656536105089)
98;MWI35.H2;"N0012";POINT (-1.742711451873165 48.12647503267853)
111;MWJ35.J1;"N0136";POINT (-1.582841363884449 48.11282250083047)
112;MWJ35.J2;"N0136";POINT (-1.582751263610978 48.11268867921437)
115;MWI35.I1;"N0136";POINT (-1.61279966350581 48.10006053933785)
116;MWI35.I2;"N0136";POINT (-1.612690816455012 48.09996212113058)
117;MWJ35.L1;"N0136";POINT (-1.635976407939513 48.08712471320953)
118;MWJ35.L2;"N0136";POINT (-1.635878625429898 48.08704854324576)
121;MWJ35.M1;"N0136";POINT (-1.650551727509177 48.0816331279919)
122;MWJ35.M2;"N0136";POINT (-1.650501909678746 48.08152739734172)
123;MWJ35.N1;"N0136";POINT (-1.660608938151679 48.08139047260165)
124;MWJ35.N2;"N0136";POINT (-1.660602227797842 48.08127482144693)
129;MWJ35.P1;"N0136";POINT (-1.690709232839956 48.0791892077571)
130;MWJ35.P2;"N0136";POINT (-1.690679424627683 48.07905285878284)
131;MWI35.U1;"N0136";POINT (-1.700466285253493 48.08681598742177)
132;MWI35.U2;"N0136";POINT (-1.700638494322681 48.08676180053399)
137;MWI35.J1;"N0136";POINT (-1.718587384467526 48.11286958686261)
142;MWJ35.S1;"N0136";POINT (-1.717454717868651 48.12403990378704)
143;MWJ35.S2;"N0136";POINT (-1.717596313436409 48.12411116867332)
144;MWJ35.F1;"N0136";POINT (-1.708022647393215 48.13243547945141)
145;MWJ35.F2;"N0136";POINT (-1.708231154568468 48.13252697593613)
148;MWI35.Q1;"N0136";POINT (-1.684165562634373 48.14089445055045)
149;MWI35.Q2;"N0136";POINT (-1.684185666143971 48.14105163784303)
150;MWI35.V1;"N0136";POINT (-1.641980128613525 48.14125909535782)
151;MWI35.V2;"N0136";POINT (-1.641955615795442 48.14143547519008)
154;MwI35.A1;"N0136";POINT (-1.590174310020685 48.14510653290964)
156;MwI35.B1;"N0136";POINT (-1.573922414919716 48.12393093412292)
157;MwI35.B2;"N0136";POINT (-1.57375826349141 48.1239476000184)
180;MWJ35.B1;"N1012";POINT (-1.733054027524626 48.12336680615648)
393;MWK35.F1;"N0136";POINT (-1.619893089951469 48.09605770935912)
394;MWK35.F2;"N0136";POINT (-1.619769195305071 48.09595790195486)
397;MWJ35.Q1;"N0136";POINT (-1.706337518985694 48.09147997773076)
403;MWJ35.T1;"N0136";POINT (-1.616131807720242 48.14692103050794)
